case_number,source,prompt,evaluation_seed,coco_id
417,coco-30k,A young boy stands next to a row of parked motorcycles.,46182,523953
418,coco-30k,A gray cat standing on top of a black car.,4057,10363
419,coco-30k,A man in a tropical print shirt with glasses and long hair is eating a banana.,16337,173008
420,coco-30k,A man sitting on a motorcycle posing in front of a bay. ,57147,391837
421,coco-30k,A man sitting on his skateboard in a field.,2967,118965
422,coco-30k,Separate men sitting on park benches playing on phone and reading.,66496,190829
423,coco-30k,A clean white toilet in a stall with a chrome toilet brush.,72356,314328
424,coco-30k,A public bathroom sink and hand drying area.,25988,538359
425,coco-30k,a group of men staring at a cellphone image,57660,482187
426,coco-30k,A kitchen with a granite counter top and faucet.,30981,452793
427,coco-30k,There is a urinal and trash can inside a small room. ,11214,538497
428,coco-30k,An old toilet is transformed into a lawn ornament by adding soil and plants.,86952,172843
429,coco-30k,Mopeds and bicycles parked next to parking meters.,8526,140006
430,coco-30k,A new and stylish bathroom with a walk in shower is shown.,43032,574145
431,coco-30k,An airplane just landed on the runway ,75710,456865
432,coco-30k,A fork rests on a plate next to a piece of cake.,85346,504711
433,coco-30k,A person dressed as a giraffe carrying a bullhorn.,91607,288584
434,coco-30k,A motorcyclist riding down the street with a dog in a basket.,30690,546642
435,coco-30k,A custom motorcycle sits in a car show,52746,184531
436,coco-30k,A bicycle is on the shelf in a display,60380,49428
437,coco-30k,A stove with a frying pan and a teapot on it.,65036,499391
438,coco-30k,A country charm type of kitchen is equipped with greenery and nick nacks.,65831,254644
439,coco-30k,Metallic looking container sitting in front of a brick wall. ,18441,325357
440,coco-30k,Plane on the tar mat of an airport.,25055,283498
441,coco-30k,Artistic toilet piece sitting in the center of a museum gallery. ,9451,107907
442,coco-30k,A stainless shiny serrated knife sits in front of a sliced loaf.,52963,57072
443,coco-30k,A group of motorcyclists driving down the road. ,17557,526401
444,coco-30k,A bathroom with a toilet and a couple towels.,98757,246613
445,coco-30k,A person sits next to their bike while birds walk nearby.,36528,56205
446,coco-30k,A cat sitting on a desk next to a window.,27925,540669
447,coco-30k,Two shake boarders playing on the street with one individual sitting under a tree.,99303,67252
448,coco-30k,A white and gold fancy toilet and stainless trash can.,50961,551304
449,coco-30k,A man bending down next to a bicycle.,20959,309071
450,coco-30k,A cat walking on the top of an open door.,54350,283904
451,coco-30k,a man in a uniform checking out the wreckage of a bus crash,15155,245818
452,coco-30k,A bicyclist is riding across the street next to someone on a motorcycle. ,3166,317320
453,coco-30k,A Qatar airlines plane on an airport runway. ,33781,67327
454,coco-30k,Hospital display of different bed setups and a nurses uniform. ,28743,72077
455,coco-30k,An empty road with buildings on each side.,29140,75560
456,coco-30k,A group of people riding on the back of a tour bus,27091,315173
457,coco-30k,A bathroom with an enclosed shower door next to a toilet.,78674,238090
458,coco-30k,A motorcycle is parked in a parking lot.,26563,276284
459,coco-30k,A bathroom sink underneath a medicine cabinet next to a window.,85411,34811
460,coco-30k,A classic car parked next to a large metal Canadian airplane.,31135,451202
461,coco-30k,A large white bathroom with a massive mirror over a sink,8170,374950
462,coco-30k,A herd of animals traveling down a country road surrounded by a lush green landscape.,77486,103548
463,coco-30k,a person riding a motorcycle on a race track,98880,143582
464,coco-30k,"a restaurant called time to eat on lincoln avenue
",85725,430774
465,coco-30k,This is an image of the inside of a nice bathroom.,75142,144941
466,coco-30k,China Airlines plain on the ground at an airport with baggage cars nearby.,66120,488278
467,coco-30k,An open laptop equipped with a webcam in front of a television. ,26997,74920
468,coco-30k,Child laying down with arms extended in the air.,79580,226408
469,coco-30k,A lady holding up a pot roast while posing for a photo.,62660,447787
470,coco-30k,A row of motorcyclists lined up while passer byers watch.,95317,477688
471,coco-30k,A cat sitting on a hard wood floor in front of a large library of books.,71111,148737
472,coco-30k,An orange cutting knife on top of a black case.,66625,374743
473,coco-30k,"A bathroom with a sink, counter, toilet and shower curtain.",39456,10800
474,coco-30k,a man in red and plack sleeping on a park bench,15894,360434
475,coco-30k,a cat sitting in a bathtub not looking amused,88525,558073
476,coco-30k,a lit up counter with two fancy sinks on it,6468,167443
477,coco-30k,Two men walking through a field next to a large jet liner.,42003,2881
478,coco-30k,A parked black motorcycle in front of a brown house.,80641,80737
479,coco-30k,Some pans and kitchen spoons hang from hooks on a ceiling rack.,10255,337403
480,coco-30k,A black and white cat sitting on the side of a computer monitor.,67963,371117
481,coco-30k,A domestic cat rests on a kitchen table in front of a microwave.,9986,506151
482,coco-30k,a man sits on a toilet in a bathroom.,70730,73009
483,coco-30k,A small white toilet sitting next to a metal trash can.,17550,75051
484,coco-30k,a group of urinals is near the trees,23001,384036
485,coco-30k,The bathroom counter is nicely decorated and organized.,84932,490927
486,coco-30k,A man walking his bike past a wooden boat.,81696,298784
487,coco-30k,Two stuffed animals are cutting bread and spreading jelly on it.,24030,196758
488,coco-30k,A  soldier riding a red motorcycle down a busy street.,26629,537548
489,coco-30k,"The bathroom is small but clean and neat looking, with an immaculate black and white tub / shower.",76329,474430
490,coco-30k,A kitchen filled with appliances and lots of cupboard space.,54204,519649
491,coco-30k,A man standing by a large air gondola that is docked in a station,44124,163333
492,coco-30k,Two people preparing a meal in a kitchen.,52363,159377
493,coco-30k,A towel on a drying rack in a bathroom with a wooden stool.,10888,401556
494,coco-30k,Small grey cat crawling over a woman's stomach. ,32535,48419
495,coco-30k,View of a narrow bathroom with white vanity and commode with brown tile,28640,287151
496,coco-30k,Woman riding her bike down a small side path.,30526,139291
497,coco-30k,a long beige bathroom with a door to a bedroom and another to the hallway,87113,242611
498,coco-30k,A group of bikers riding down the road together.,57957,419978
499,coco-30k,The unfinished room has tools and construction materials scattered about.  ,57183,257996
500,coco-30k,A black cat half-submerged in a toilet while drinking out of it.,11527,411685
501,coco-30k,A restroom hanging off the side of a building over a mountain.,39567,15918
502,coco-30k,A bathroom with powers on a towel rack under a painting.,15842,205533
503,coco-30k,A man riding a motorcycle next to a woman driving an SUV,76263,252911
504,coco-30k,A woman preparing food at a restaurant for customers.,41121,544237
505,coco-30k,A girl with a drink sitting on the toilet.,71836,120428
506,coco-30k,An older woman walking behind a bus on a city street.,99286,64088
507,coco-30k,Two people riding a motorcycle to the beach.,49859,102411
508,coco-30k,A dirt bike parked near a tent in the woods.,19720,48924
509,coco-30k,A pan filled with veggies and a block of butter.,37026,436467
510,coco-30k,A bathroom with a toilet bowl and shower.,27906,523297
511,coco-30k,a traffic motorcycle cop waits to give a ticket,63333,230008
512,coco-30k,A group of bikers assembles outside of a pizza shop.,57875,469134
513,coco-30k,A kitchen filled with clutter all over it's counter.,36065,314370
514,coco-30k,a kite with a long tail some people and a black truck,23140,122317
515,coco-30k,Pair of giraffes in an open field grazing and watching. ,61409,539478
516,coco-30k,a flock of goats and some men watching them,8898,181666
517,coco-30k,A red fire hydrant between two trees in front of a building.,3107,542211
518,coco-30k,Two birds sit on top of a parked car.,8990,264659
519,coco-30k,three bicycles are parked against a fence a car and building,39031,435444
520,coco-30k,A large airliner jet flying through the blue sky.,75688,572733
521,coco-30k,A kitchen with an odd shaped counter top with a metallic stove oven.,32325,128842
522,coco-30k,A long row of motorcycles parked side by side next to a garage.,42621,342515
523,coco-30k,A long empty road way surrounded by wild plants.,8802,221737
524,coco-30k,A man wearing a suit and tie under a brown umbrella.,74544,258680
525,coco-30k,A person is watching two basketball games at once.,83730,170389
526,coco-30k,A green mountain bike sitting next to a bridge as a train passes by.,97298,506577
527,coco-30k,"A white kitchen with plenty of counter space, a dishwasher and a oven.",9131,261679
528,coco-30k,"A little girl lies on a wooden bench, eating snacks from a bag.",5547,576305
529,coco-30k,Four airplanes  that are crop dusting over some land.,932,316429
530,coco-30k,several young students working at a desk with multiple computers,31184,113588
531,coco-30k,A scene of an apartment with a dining table and a couple of couches.,15971,543047
532,coco-30k,A man sits on a bench in a no smoking area,49656,263163
533,coco-30k,A man drives his car down a road with foot and animal traffic,91943,557016
534,coco-30k,A woman holds a pink and blue kite in her hand,96038,54679
535,coco-30k,Several vehicles turning the corner on a busy intersection.,28902,106335
536,coco-30k,A breakfast bowl consisting of blueberry sconce and strawberry with side of coffee,92553,8718
537,coco-30k,The bathroom has two large windows with a ledge.,49625,245902
538,coco-30k,A woman on a bike with a baby seat holding a dog leash.,79364,210060
539,coco-30k,The man is holding two knives in his hands.,77543,580388
540,coco-30k,An airplane on a runway with snow on it.,449,92963
541,coco-30k,A colorful checkered motorcycle parked along the street.,83971,206176
542,coco-30k,A grey van in front if a parking meter that takes credit cards.,88755,559252
543,coco-30k,A men's public washroom with a blue floor. ,13101,347142
544,coco-30k,A brown songbird perched on the handlebars of a bicycle.,83017,358765
545,coco-30k,A local hero rides through the streets of town on his motorcycle with stuffed animals.,32967,101172
546,coco-30k,A small kitchen with black countertops and stainless steel appliances.,55635,195179
547,coco-30k,A man rides a silver motorcycle down the street in town.,47233,364243
548,coco-30k,A little boy in the airport watching an airplane.,21398,321432
549,coco-30k,A fuzzy photo shows a simple bathroom and bathtub.,17825,53434
550,coco-30k,A jeep with a dead bird on the windshield.,306,565391
551,coco-30k,"A rear view mirror on a bike is reflecting a poster on building.
",66695,775
552,coco-30k,A medieval style tower and clock against blue sky.,92100,215408
553,coco-30k,a bathroom with two sinks two mirrors and a bath tub,23197,47775
554,coco-30k,An old fashioned biplane with its propeller spinning.,49168,469492
555,coco-30k,Unique looking Modern Outdoor Public restroom on a sidewalk.,77764,383065
556,coco-30k,"A baby, an old lady, a woman, and a man prepare for turkey",81229,310121
557,coco-30k,A bathroom with a brown shower curtain and white toilet ,22301,287554
558,coco-30k,"Inside a restroom stall, a rag floats in the toilet water.",56141,69773
559,coco-30k,Person on a motorcycle driving on a paved course.,96100,484397
